"rank","name","amount"
"1","Zemědělsko-obchodní družstvo Žichlínek","620489"
"2","ZOD Haná, družstvo se sídlem ve Švábenicích","526172"
"3","ZEM, a.s.","473348"
"4","ZOS Kačina, a.s.","428770"
"5","Zemědělsko obchodní družstvo Zálší","405331"
"6","Zemědělské družstvo Unčovice","403844"
"7","Zemědělské obchodní družstvo Vilémov","376434"
"8","ROVINA Agro a.s.","366901"
"9","Žerotín, a.s.","349712"
"10","Zemědělské obchodní družstvo Blata","347177"
"11","Zemìdìlské družstvo Vlèák Èernošín","332947"
"12","Zemědělské obchodní družstvo Kámen","330101"
"13","ZVOZD Horácko, družstvo","324800"
"14","Zemìdìlské obchodní družstvo Zálabí","311551"
"15","1. jihočeská zemědělská a.s.","300001"
"16","Zemědělské družstvo Vysočina Želiv","293533"
"17","Zemìdìlské obchodní družstvo Potìhy","291833"
"18","Žilovská zemìdìlská a.s.","285587"
"19","Zemìdìlský podnik Kvasicko, a.s.","284513"
"20","ZERA, a.s.","275134"
"21","ZS Dublovice a.s.","274635"
"22","Zemìdìlské obchodní družstvo Hoøice","261782"
"23","Žihelský statek, a.s.","258922"
"24","Zem. spol. SKALSKO, s.r.o.","256245"
"25","Zemìdìlské družstvo Telè","255447"
"26","Zemědělské obchodní družstvo Borovany","250400"
"27","ZOD 11. KVĚTEN a.s.","247121"
"28","ZEMOS a.s.","246421"
"29","ZP Otice, a.s.","245194"
"30","ZEOS LOMNICE a.s.","244470"
"31","Zemědělské družstvo Unčovice","241352"
"32","Zemědělsko obchodní družstvo Starosedlsk ý Hrádek","235945"
"33","ZEMSPOL STUDÉNKA a.s.","234699"
"34","Zemědělské družstvo VRCHOVINA","226828"
"35","Zemědělsko-obchodní družstvo vlastníků Ú jezd u Uničova","225182"
"36","Zemědělské obchodní družstvo Mrákov","224496"
"37","Zemědělské družstvo Velká Chyška","223576"
"38","ZEPOS a.s.","221971"
"39","ZEMCHEBA, s.r.o.","221080"
"40","Zemědělské obchodní družstvo Poolšaví","219276"
"41","Zemìdìlské družstvo Tøebohostice","214742"
"42","ZOD Brništì a.s.","208954"
"43","ZEMET spol. s r.o.","208438"
"44","Zemìdìlské obchodní družstvo Pøedslavice","207586"
"45","Zemědělské obchodní družstvo Úmonín","206348"
"46","ZEMSPOL Èeské Meziøíèí, a.s.","203374"
"47","Zemědělské obchodní družstvo Opatovec","202039"
"48","ZEMOS a.s.","200616"
"49","Zemědělské družstvo Všestary","197666"
"50","Zemìdìlský podnik, a.s. Mìsto Albrechtice","197242"
"51","Zemědělské družstvo Velká Losenice","195341"
"52","Zemědělsko-obchodní družstvo Žichlínek","194424"
"53","Zemědělské obchodní družstvo Sepekov","192416"
"54","1. Hradecká zemědělská a.s.","192364"
"55","Zemìdìlsko - obchodní družstvo se sídlem v Nìmèicích","191876"
"56","ZEMOS Lesná, spol. s r.o","186529"
"57","ZOPOS Přestavlky a.s.","186310"
"58","ZEMSPOL a.s. Sloup","183532"
"59","Zemědělské družstvo Starý Hrozenkov","181213"
"60","Zemìdìlské družstvo Trstìnice","180730"
"61","Zemìdìlské obchodní družstvo Onomyšl","179251"
"62","ZERAS a.s.","176982"
"63","ZEMSPOL DEŠNÁ, s.r.o.","175022"
"64","Zemìdìlsko-obchodní družstvo M Á J","174384"
"65","ZS Pøestavlky a.s.","174165"
"66","Zemìdìlské družstvo Záhoøí Sobìchleby","173984"
"67","ZKS AGRO ZAHOØANY s.r.o.","173338"
"68","Zemědělské obchodní družstvo Habry","170945"
"69","ZEMKO Kožlí a.s.","170157"
"70","Zemìdìlský podnik, a.s. Mìsto Albrechtice","164987"
"71","ZS Slatina pod Hazmburkem a.s.","164424"
"72","ZEMO, spol. s r.o.","163744"
"73","Zemědělské družstvo vlastníků","158179"
"74","Zemědělské obchodní družstvo Olešník","157915"
"75","ZS Kratonohy a.s.","156942"
"76","1. jihočeská zemědělská a.s.","156615"
"77","1. jihočeská zemědělská a.s.","156600"
"78","ZES Kostelní Hlavno a.s.","154893"
"79","Zemìdìlské obchodní družstvo Potìhy","153614"
"80","ZS Kozojedy, a.s.","152917"
"81","Zemìdìlské družstvo Tøebelovice - družst vo","152605"
"82","ZEMÌDÌLSTVÍ - výroba a obchod, s.r.o., z krácenì ZVO, s.r.o.","151766"
"83","Zemìdìlské družstvo vlastníkù Tøebaøov","151106"
"84","ZEMOS KØENOV s.r.o.","149742"
"85","Zemědělské obchodní družstvo Ludmírov","149035"
"86","Zemědělské družstvo SLEZAN Klimkovice","148659"
"87","ZEPO Bohuslavice, a.s.","147419"
"88","Zemědělské družstvo Všestary","146979"
"89","ZS Bohuslavice,a.s.","146877"
"90","Zemědělské obchodní družstvo se sídlem v Kolinci","146251"
"91","Žichlická zemědělská a. s.","145477"
